,duration,duration,duration,duration,duration,duration,duration,duration,mean_speed,mean_speed,mean_speed,mean_speed,mean_speed,mean_speed,mean_speed,mean_speed,mean_acc,mean_acc,mean_acc,mean_acc,mean_acc,mean_acc,mean_acc,mean_acc,mean_rotation,mean_rotation,mean_rotation,mean_rotation,mean_rotation,mean_rotation,mean_rotation,mean_rotation,mean_rotation_speed,mean_rotation_speed,mean_rotation_speed,mean_rotation_speed,mean_rotation_speed,mean_rotation_speed,mean_rotation_speed,mean_rotation_speed
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
paired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2480.0,78.96451612903226,128.36035348141215,1.0,15.0,32.0,82.25,1335.0,2480.0,6.471169424349539,4.2039161547140464,0.0,3.825903159847722,5.623057441150042,8.143168329068889,110.98581824301247,2480.0,4.3450169178508125,4.973685115758707,0.0,2.931732605140576,3.846538252649709,4.936830039257878,218.96863105642703,2480.0,2.8981656389917547,0.1341484121877956,2.0201267204435904,2.841262531765331,2.9232570421636006,2.9915776780181447,3.136070714542323,2480.0,0.05124559502054236,0.03279618162999361,0.0,0.03496852989815185,0.0448430167403947,0.058980721339127525,0.7379518383180836
1,399.0,30.220551378446114,38.826394673125506,1.0,9.0,18.0,36.0,311.0,399.0,11.462673069562962,6.608098480965044,0.0,6.691780237020186,10.136760437699502,14.987437407198321,44.27240601129501,399.0,7.376739771044695,4.492809534209936,0.0,4.603242990599528,6.266421160994029,9.008838370904284,35.47435781338854,399.0,2.9113694456896497,0.13741459446781112,2.375379766733827,2.8485697537433063,2.94772305543409,3.010159420511399,3.117283391941182,399.0,0.06554728657142975,0.04192834378748974,0.0,0.0396179641478727,0.0555219934068872,0.0773793305432608,0.2845180492649602
